Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Sessions	Pete		P	TX17	2023	1/17/2023	20022292
	Sigala-Rosario	Angelina		C	CA13	2023	1/30/2023	10050845
Hon.	Sires	Albio		T	NJ08	2023	2/2/2023	8219349
Hon.	Spartz	Victoria		P	IN05	2023	1/12/2023	20022269
Hon.	Speier	Jackie		T	CA14	2023	2/2/2023	10050818
Hon.	Suozzi	Thomas		X	NY03	2023	1/31/2023	30017756
Hon.	Taylor	Nicholas V.		T	TX03	2023	2/2/2023	10050834
Hon.	Upton	Fred		X	MI06	2023	1/31/2023	8219345
	Wheeler	Gregory		C	OH13	2023	1/6/2023	10050729
Hon.	Wittman	Robert J.		P	VA01	2023	1/5/2023	20022227
Hon.	Zeldin	Lee Michael		T	NY01	2023	2/1/2023	10050852
